1,Space Pilot 3000,http://www.imsdb.com/TV Transcripts/Futurama - Space Pilot 3000 Script.html,http://www.imsdb.com/transcripts/Futurama-Space-Pilot-3000.html
2,The Series Has Landed,http://www.imsdb.com/TV Transcripts/Futurama - The Series Has Landed Script.html,http://www.imsdb.com/transcripts/Futurama-The-Series-Has-Landed.html
3,"I, Roommate","http://www.imsdb.com/TV Transcripts/Futurama - I, Roommate Script.html","http://www.imsdb.com/transcripts/Futurama-I,-Roommate.html"
4,Love's Labours Lost In Space,http://www.imsdb.com/TV Transcripts/Futurama - Love's Labours Lost In Space Script.html,http://www.imsdb.com/transcripts/Futurama-Love's-Labours-Lost-In-Space.html
5,Fear Of A Bot Planet,http://www.imsdb.com/TV Transcripts/Futurama - Fear Of A Bot Planet Script.html,http://www.imsdb.com/transcripts/Futurama-Fear-Of-A-Bot-Planet.html
6,A Fishful Of Dollars,http://www.imsdb.com/TV Transcripts/Futurama - A Fishful Of Dollars Script.html,http://www.imsdb.com/transcripts/Futurama-A-Fishful-Of-Dollars.html
7,My Three Suns,http://www.imsdb.com/TV Transcripts/Futurama - My Three Suns Script.html,http://www.imsdb.com/transcripts/Futurama-My-Three-Suns.html
8,A Big Piece Of Garbage,http://www.imsdb.com/TV Transcripts/Futurama - A Big Piece Of Garbage Script.html,http://www.imsdb.com/transcripts/Futurama-A-Big-Piece-Of-Garbage.html
9,Hell Is Other Robots,http://www.imsdb.com/TV Transcripts/Futurama - Hell Is Other Robots Script.html,http://www.imsdb.com/transcripts/Futurama-Hell-Is-Other-Robots.html
10,A Flight To Remember,http://www.imsdb.com/TV Transcripts/Futurama - A Flight To Remember Script.html,http://www.imsdb.com/transcripts/Futurama-A-Flight-To-Remember.html
11,Mars University,http://www.imsdb.com/TV Transcripts/Futurama - Mars University Script.html,http://www.imsdb.com/transcripts/Futurama-Mars-University.html
12,When Aliens Attack,http://www.imsdb.com/TV Transcripts/Futurama - When Aliens Attack Script.html,http://www.imsdb.com/transcripts/Futurama-When-Aliens-Attack.html
13,Fry And The Slurm Factory,http://www.imsdb.com/TV Transcripts/Futurama - Fry And The Slurm Factory Script.html,http://www.imsdb.com/transcripts/Futurama-Fry-And-The-Slurm-Factory.html
14,I Second That Emotion,http://www.imsdb.com/TV Transcripts/Futurama - I Second That Emotion Script.html,http://www.imsdb.com/transcripts/Futurama-I-Second-That-Emotion.html
15,"Brannigan, Begin Again","http://www.imsdb.com/TV Transcripts/Futurama - Brannigan, Begin Again Script.html","http://www.imsdb.com/transcripts/Futurama-Brannigan,-Begin-Again.html"
16,A Head In The Polls,http://www.imsdb.com/TV Transcripts/Futurama - A Head In The Polls Script.html,http://www.imsdb.com/transcripts/Futurama-A-Head-In-The-Polls.html
17,Xmas Story,http://www.imsdb.com/TV Transcripts/Futurama - Xmas Story Script.html,http://www.imsdb.com/transcripts/Futurama-Xmas-Story.html
18,Why Must I Be A Crustacean In Love,http://www.imsdb.com/TV Transcripts/Futurama - Why Must I Be A Crustacean In Love Script.html,http://www.imsdb.com/transcripts/Futurama-Why-Must-I-Be-A-Crustacean-In-Love.html
19,Put Your Head On My Shoulder,http://www.imsdb.com/TV Transcripts/Futurama - Put Your Head On My Shoulder Script.html,http://www.imsdb.com/transcripts/Futurama-Put-Your-Head-On-My-Shoulder.html
20,The Lesser Of Two Evils,http://www.imsdb.com/TV Transcripts/Futurama - The Lesser Of Two Evils Script.html,http://www.imsdb.com/transcripts/Futurama-The-Lesser-Of-Two-Evils.html
21,Raging Bender,http://www.imsdb.com/TV Transcripts/Futurama - Raging Bender Script.html,http://www.imsdb.com/transcripts/Futurama-Raging-Bender.html
