Show #,Show No.,Title,Topics,Synopsis,Original Air Date,Transcript,Recipes
EASP08H,252nd,Turn On the Dark,Dark Chocolate,Join host Alton Brown for an hour long special revealing the secret power of dark chocolate. (foodnetwork.com),02.10.2011,Turn On the Dark,.
EASP07H,251th,Re-Romancing The Bird,"Thanksgiving, Turkeys, Thawing a Turkey, Dry Brine (Cure), Rubbed Sage, Golden Syrup, Starch","Many years after changing Thanksgiving history forever, Alton Brown and the Good Eats crew take one final shot at the biggest food holiday of the year. (foodnetwork.com)",11.20.2011,Re-Romancing The Bird,"1. Bourbon Pecan Pie 2. Butterflied, Dry Brined Roasted Turkey with Roasted Root Vegetable Panzanella 3. Turkey Giblet Gravy 4. Whipped Potatoes"
EASP06H,250th,Right On Q,,"Join Alton Brown for an hour-long journey into the world of home-made, tasty, smoked, pork. (foodnetwork.com)",08.06.2011,Right On Q,1. Barbecue St. Louis Pork Ribs 2. Barbecue Pork Butt
EA1422H,249th,Use Your Noodle V,"Asian Noodles, Asian Sauces, Amylose, Ramen Noodles","Host Alton Brown investigates the culinary possibilities of Asian Noodles. Dishes include ""ants climbing trees"". (foodnetowrk.com)",05.02.2011,Use Your Noodle V,1. Dan Dan Noodles 2. Ants in Trees 3. Thai Shrimp Spring Rolls
EA1421H,248th,Caul of the Flower,"Cauliflower, Curry, Pine Nuts",Host Alton Brown amends for having insulted the odd ball of the cabbage family: cauliflower (foodnetwork.com),04.25.2011,Caul of the Flower,1. Broiled Curried-flower 2. Cauliflower Say Cheese 3. Cauliflower Slaw
EA1420H,247th,Roll Call,"Dinner Rolls, Yeast, Straight Dough Method, Parker House Hotel, Joseph Gregor",Host Alton Brown harnesses the power of yeast to put classic rolls back onto the American dinner table. (foodnetwork.com),04.18.2010,Roll Call,1. Parker House Rolls 2. Butter Flake Rolls
EA1419H,246th,The Proof Is In The Bread Pudding,"Bread Pudding, Bread Stalling, Amylose, Half & Half",Host Alton Brown uses a scientific secret formula in an attempt to devise the definitive bread pudding. (foodnetwork.com),04.11.2010,The Proof Is In The Bread Pudding,1. Chocolate Bread Pudding 2. Spiced Bread Pudding
EA1418H,245th,"Waiter, There Is A Fish In My Soup","Bouillabaisse, Fennel, Rescasse","Bouillabaisse may be a scary name, but the soup it represents doesn't have to be. In fact, if you're willing to buy some decent fish and master a few basics, it can most definitely qualify as Good Eats. (foodnetwork.com)",04.04.2010,"Waiter, There's Fish In My Soup","1. Positively, Absolutely, Not Real Bouillabaisse"
EA1417H,244th,Use Your Noodle 4,"Lasagna, Crock Pot, Kugel","If lasagna (the noodle) is the most comforting ingredient of all time (and it is) then lasagna (the casserole) must be the most comforting dish of all time. Problem is, most American lasagnas deliver more consternation than comfort. Join host Alton Brown as he puts lasagna back in its place (foodnetwork.com)",03.28.2010,Use Your Noodle 4,1. Slow Cooker Lasagna 2. Lasagna Noodle Kugel
EA1415H,243rd,A Bird in the Pie is Worth Two in the Bush,"Chicken Pot Pie, Puff Pastry","Chicken Pot Pie is a medieval classic that's fallen into disrepair recently, due in large part to our willingness to let factories do the baking for us. Join host Alton Brown as he looks at three different ways to fix this sad state. (foodnetwork.com)",03.21.2010,A Bird in the Pie is Worth Two in the Bush,1. Medieval Game Hen Pot Pie 2. Individual Chicken Pot Pie with Puff Pastry 3. Chicken Biscuit Pot Pie
EA1416H,242nd,Devil of a Cake,"Devil's Food Cake, Dutch Process Cocoa, Red Food Coloring","Do you have to tangle with dark forces in order to create a quality Devil's Food Cake or its crimson kin, Red Velvet? Yes you do. And it's called cocoa powder. Join host Alton Brown as he reinvents the classics (foodnetwork.com)",03.14.2010,Devil of a Cake,1. Chocolate Frosting for Devil's Food Cake 2. Cream Cheese Frosting for Red Velvet Cake 3. Devil's Food Cake 4. Red Velvet Cake
EA1414H,241st,"Pantry Raid XIII, Destination Chickpea","Chickpea, Tahini, Marcus Tullius Cicero, Hilum, Pressure Cooker, Amino Acids, Sumac","International travel is a risky, uncomfortable, and expensive business these days but if you have dry chickpeas in your pantry, exotic destinations are easily reached from the comfort of your kitchen. Join host Alton Brown as he journeys to the near east with hummus and falafel (foodnetwork.com)",03.07.2011,"Pantry Raid XIII, Destination Chickpea",1) Falafel 2) Hummus For Real 3) Pressure Cooker Chickpeas 4) Roasted Chickpeas 5) Slow Cooking Chickpeas
EA1413H,240th,Egg Files 7,"Meringue, Eggs, Anna Pavlova","Join host Alton Brown as he delves into three classic meringue-based desserts, including Baked Alaska. (foodnetwork.com)",12.30.2010,Egg Files 7,1. Baked Alaska 2. Oeufs a la Neige 3. Pavlova
EA1412H,239th,American Classics 9,"Pumpkin, Pumpkin Pie, Cleaver, Vitamin A",Host Alton Brown delves into the Fall Classic taking it back to Plymouth and forward to the future. (foodtv.com),11.18.2010,American Classics 9,1. Pumpkin Pie 2. Pumpkin Puree 3. Whole Pumpkin Pie Soup
EA1411H,238th,Squash Court II,"Summer Squash, Mandoline, Three Sisters",Host Alton Brown deals deliciously with a surprising glut of summer squash (foodtv.com),11.04.2010,Squash Court II,1. Crookneck Squash Frittata 2. Frozen Summer Squash 3. Zucchini Ribbon Salad 4. Overstuffed Pattypan Squash
EA1410H,237th,All Hallows Eats,"Halloween Candy, Corn Syrup, Food Coloring, Carnuba Wax","Host Alton Brown decides to put the ""trick"" into his treats with three sinister twists on classic Halloween candies. (foodtv.com)",10.28.2010,All Hallows Eats,1. Atomic Apples 2. Candy Corn 3. Popcorn Balls
EA1409H,236th,Oat Cuisine II,"Oats, Cholesterol, HDL, LDL, Creaming Method",Host Alton Brown helps you get more oats in your diet with some very surprising culinary incarnations. (foodtv.com),10.14.2010,Oat Cuisine II,1. Oat Waffle 2. Refresco de Avena 3. Leftover Oatmeal Bread 4. The Oatiest Oatmeal Cookies Ever
EA1408H,235th,天麩羅 or in English Tempura*,"Tempura, Gluten","Host Alton Brown takes on the most mythic, magical, but often times monstrous form of frying known to modern man. (foodnetwork.com)",10.07.2010,Tempura,None given at FN.com
EA1407H,234th,American Classics VIII,"Tacos, Lard, Tilapia, Panela, Ground Sirloin","They may have been born in Mexico but today the taco is a concept as ""American"" as apple pie. Host Alton Brown seeks to refurbish 2 particularly tarnished variations on the theme. (foodnetwork.com)",07.08.2010,American Classics VIII,1) All American Beef Taco 2) Taco Potion #19 3) Fish Taco 4) Flour Tortillas 5) Crema
EA1406H,233th,Yes We Have No Banana Pudding,"Bananas, Banana Pudding, Banana Liqueur, Vanilla Wafers","Whether you like them cool and cream topped or warm with a crown of meringue, odds are if you're a banana pudding fan it's been a long time since you smiled. That's all about to change. (foodnetwork.com)",07.01.2010,Yes We Have No Banana Pudding,1) Vanilla Wafers 2) Baked Banana Pudding 3) Refrigerated Banana Pudding
EA1404H,235th,Flat is Beautiful V,"Artisanal Wood Fired Pizza, Yeast, Barley Syrup","Thin and crispy artisanal wood fired pizzas are nearly impossible to manage at home but with some sound science and a good grill, you can come close to perfection. (foodnetwork.com)",06.24.2010,Flat is Beautiful V,1) Grilled Pizza - Three Ways
EA1403H,231st,Little Big Lunch,"Eggs Benedict, English Muffin, Hollandaise, Poached Eggs","When it comes to brunch, Eggs Benedict is king. Problem is, it usually isn't good eats. Host Alton Brown tears down the dish and rebuilds from the ground up. (foodnetwork.com)",06.17.2010,Little Big Lunch,1) Eggs Benedict
EA1405H,230th,Spear of Influence & Age of Asparagus,"Asparagus, Tureen, Folate, Quark","Everything you never knew you wanted to know about procuring, preserving, and presenting the first vegetable of the season: asparagus. Buying, storing, and cooking are investigated as well as the science behind that...um...funny smell. (foodnetwork.com)",06.10.2010,Age of Asparagus,1) Roasted Asparagus 2) Asparagus Terrine 3) Steamed Asparagus
EA1402H,229th,Grillvs Domesticvs,"Chicken, Grilling, BBQ, Chicken Pieces, Brining","If you own a grill, sooner or later you're going to put some chicken on it...it's inevitable. And odds are good you won't be happy with the results, unless of course you watch this show. (foodnetwork.com)",06.03.2010,Grillvs Domesticvs,1) Ring of Fire Grilled Chicken
EA1401H,228th,Porterhouse Rules,"Porterhouse Steak, Dry aging, Steak terminology, Broilers",Learn everything you need to know about this legendary cut-o-cow to produce steak house standard results for a hundred bucks under steak house prices. (foodnetwork.com),05.27.2010,Porterhouse Rules,1) Dry Aged Chimney Porterhouse
EA1315H,227th,"It's a Pan, It's a Dish, It's Paella","Paella, Saffron, Spanish Rice",Host Alton Brown demystifies the Spanish pan and the rice dish it's famous for. (foodnetwork.com),04.29.2009,"It's a Pan, It's a Dish, It's Paella",1) Paella
EA1319H,226th,The Catfish Shall Rise Again,"Catfish, Ceviche","After confessing a long-lived love for catfish, host Alton Brown sets out to modernize its image. (foodnetwork.com)",04.08.2009,The Catfish Shall Rise Again,1) Catfish Ceviche 2) Catfish Soup 3) Southern Fried Catfish
EA1316H,226rd,Curry-ous,"Curry, Spice Trade, Masala, Tandoor, Skewer",Host Alton Brown attempts to set the record straight on the beloved English dish that made India famous. (foodnetwork.com),03.29.2010,Curry-ous,1) Lamb Tikka Masala
EA1318H,225th,American Classics 7,"Chicken and Dumplings, Pressure Cooker","Host Alton Brown takes on the classic American soup that divides the country, and his family. (foodnetwork.com)",03.22.2009,American Classics 7,1) Chicken and Rolled Dumplings 2) Chicken and Dropped Dumplings
EA1317H,224th,The Ballad of Salty and Sweet,"Salty Desserts, Tongue, Finishing Salts, Sugars",Host Alton Brown examines ways to super-charge desserts with salt. Bacon praline anyone? (foodnetwork.com),03.08.2009,The Ballad of Salty and Sweet,1) Dark Salty Caramels 2) Grapefruit Brûlée 3) Praline Bacon
EA1314H,222nd,Raising The Bar Again,"Cocktails, Bloody Mary, Margarita, Agave Plant, Vodka, Tequila,",Join AB as he deconstructs the Margarita and Bloody Mary and reconstructs them with a classic formula Good Eats style. (foodnetwork.com),01.25.2009,Raising The Bar Again,1) Margarita 2) Tomato Vodka 3) Bloody Mary
EA1313H,221st,Live and Let Diet,"Dieting, The 4 Lists, Calories, Energy, Breakfast, Soy Milk, Smoothie Blender, Avocado, Bristling, Sardines",AB explains how eating from 4 basic food groups helped him lose 50 lbs without going on a diet. (foodnetwork.com),01.04.2010,Live and Let Diet,1) Sherried Sardine Toast 2) Ginger Almonds 3) Buff Smoothie
EASP05H,220th,'Twas The Night Before Good Eats,"Wassail, Saint Nicholas, Crab Apples, Goose, Duck, Oysters",A dark holiday night finds Alton Brown visited by a series of culinary spirits which drive him to prepare long lost yuletide classics. (foodnetwork.com),11.30.2009,'Twas The Night Before Good Eats,Foodnetwork.com never provided recipes. Here's my copy from the transcript (below).1) Wassail 2) Roasted Duck with Oyster Dressing 3) Sugar Fairy Plums
EA1312H,219th,"The ""Proof"" Is In The Pudding","Alcohol In Cooking, Ethanol, Yeast, Grits, Fortified Wines","Host Alton Brown breaks into the liquor cabinet, not to concoct a drink but to examine the uses of alcohol in food preparation. (foodnetwork.com)",12.23.2009,"The ""Proof"" Is In The Pudding",1) Flaming Shrimp and Grits 2) Limoncello 3) Zabaglione
EA1307H,218th,Pantry Raid XII: Turning Japanese,"Katsuobushi, Dashi, Tofu, Umami, Miso, Soba Noodles","The ingredients for that beguiling Japanese concoction, miso soup, may seem a bit unusual until host Alton Brown demystifies them and explores the wonders of the Japanese pantry. (foodnetwork.com)",11.09.2009,Pantry Raid XII: Turning Japanese,1) Easy Tofu Dressing 2) Dashi 3) Miso Soup 4) Miso Honey Glazed Fish 5) Glazed Bonito Flakes 6) Tsuyu Sauce
EA1308H,217th,The Once and Future Fish,"Farm Raised Trout, Sustainability, Fish Farming, Lion Farming, Herring, Smoking","Concerned about the impact of over-fishing, host Alton Brown explores tasty and extremely sustainable farm-raised trout. (foodnetwork.com)",11.02.2009,The Once and Future Fish,1) Hot Smoked Trout 2) Rollmops 3) Escabeche of Trout
EA1309H,216th,American Classics V,"Pound Cake, Creaming Method, Butter, Cake Flour",The pound cake may have been born in Britain but host Alton Brown considers it to be an American classic. Join him as he explores the history and preparation of this delicious treat. (foodnetwork.com),10.26..2009,American Classics V,1) Pound Cake 2) Buttermilk Pound Cake
EA1310H,215th,Food Under the Influence,"Wine, Beer, Fermentation, Yeast, Red Wines, Corkscrews, Alcohol Content, Marinates","Most people think of beer and wine only as drinks, but host Alton Brown thinks outside the bottle as he uses them as key ingredients in several tasty dishes. (foodnetwork.com)",10.19.2009,Food Under the Influence,1) Beer Bread 2) Lamb Shoulder Chops with Red Wine
EA1311H,214th,Man Food 2,"Breakfast, Eggs Over Easy, Bacon, Hash Browns, Non Skillets, Coffee, Burr Coffee Grinder, Coffee Press","Host Alton Brown helps an average Joe overcome his kitchen phobias and whip up the classic breakfast of bacon, eggs and coffee. (foodnetworks.com)",10.12.2009,Another Man Food Show: Breakfast,1) Man Bacon 2) Man Coffee 3) Man Eggs 4) Man Hash Browns
EASP04H,213th,Good Eats Turns 10,"Interview with Alton Brown, Multitasking the Unitasker, Trivia Contest with Superfans, Pancake Cake","To celebrate Good Eats going double digits, Alton Brown and company put on a live variety show full of lively conversation, strange cooking devices, a trivia game show, a parade of guests, a live band, and one very strange birthday cake. (foodnetwork.com)",10.10.2009 at 10:00 pm,Good Eats Turns 10,--none--
EA1306,212th,Feeling Punchy,"Punch, Toddy, Cognac, Cognac Codes, Scotch","Despite its long and noble history, punch rarely receives the respect it deserves so host Alton Brown begins a quest to return the drink to its rightful culinary position. (foodnetwork.com)",06.22.2009,Feeling Punchy,1) Cape Fear Punch 2) Good Eats Company Punch 3) Hot Toddy
EA1305,211th,Undercover Veggies,"Parsnips, Alkalines, Quick Bread, Tunneling, Cold Sweetening",Alton explains how to sneak veggies into sweet treats. (foodnetwork.com),06.08.2009,Undercover Veggies,1) Parsnip Muffins 2) Pearsnip Sauce 3) Parsnip Crisps
EA1301H,210th,Tender Is The Pork,"Pork Tenderloin, Marinades, Silver Skin, Fire Chimney, Solublization, Napoleon Bonaparte, Arthur Wellesly, Capillary Action",Looking for an alternative to chicken? Host Alton Brown turns to the pork tenderloin as a delicious yet low fat substitute for the ubiquitous bird. (foodnetwork.com),05.26.2009,Tender Is The Pork,1) Grilled Pork Tenderloin 2) Pork Wellington
EA1304H,210th,American Classics 4,"Spaghetti, Meat Sauce, Ragu Alla Bolognese, Ellis Island, Garibaldi Lapolla, Hamburger Fat, Porcini Mushroom","Although usually considered an Italian dish, spaghetti with meat sauce proves to be an American classic as host Alton Brown explores its origins. (foodnetwork.com)",05.18.2009,American Classics 4,1) Meat Sauce with Spaghetti
EA1303H,208th,Tamale Never Dies,"Tamales, Mesa Harina, Serrano, Lard, Surgeons Knot, Robert Johnson","Quite possibly the original convenience food, tamales are ancient and delicious. Join host Alton Brown on an historical and tasty exploration of these tempting treats. (foodnetwork.com)",05.04.2009,Tamale Never Dies,1) Hot Tamales 2) Turkey Tamales
EA1302H,207th,Crustacean Nation 4,"Crawfish, Thomas Say, Cajun","Host Alton Brown explores a bayou staple, the delicious and sustainable alternative to lobster, the crawfish. (foodnetwork.com)",04.27.2009,Crustacean Nation 4,1) Crawfish Boil 2) Lobster Roll (not at FN's website)
EA1215,206th,Gills Gone Wild,"Salmon, Roy J. Plunkett, Salmon Spawning, Polytetrafluoroethylene, Oven Thermometers, Fish Spatula, Omega-3 Fatty Acid",Wild salmon can be a shock to the budget but host Alton Brown proves that it is worth every penny if properly and simply prepared. (foodnetwork.com),03.02.2009,Gills Gone Wild,1) Coho Salmon Fillets 2) Bi-Level King Salmon Fillet 3) Broiled Sockeye Salmon with Citrus Glaze
EA1214,205th,Pantry Raid X: Dark Side of the Cane,"Molasses, Brown Sugar, Sugar Cane, Pennsylvania Dutch, Alkaline Aqueous Solution, Sucrose, Fructose","Long before refined sugar, molasses was the sweetener of choice. Join host Alton Brown as he digs deep in the pantry to resurrect this historic and versatile syrup. (foodnetwork.com)",02.16.2009,Pantry Raid X: Dark Side of the Cane,1) Molasses Coffee Marinated Pork Chops 2) Shoo-Fly Pie 3) Boston Brown Bread 4) Homemade Dark Brown Sugar
EA1213,204th,Orange Aid,"Oranges, Powdered Sugar, Julius Freed, Levers, Kevlar Glove, Canning, Pectin, James Keiller, Sherbet","Oranges aren't just for juice any more as host Alton Brown explores their symphony of flavors to create a classic drink, a tasty topping and a creamy cold dessert. (foodnetwork.com)",02.02.2009,Orange Aid,1) Orange Marmalade 2) Orange Sherbet 3) Orange Delicious
