showTitle,episodeID,episodeNumber,seasonNumber,seasonEpisodeNumber,airDate
Turn On the Dark,EASP08H,252,15,8,2011-02-10T00:00:00
Re-Romancing The Bird,EASP07H,251,15,7,2011-11-20T00:00:00
Right On Q,EASP06H,250,15,6,2011-08-06T00:00:00
Use Your Noodle V,EA1422H,249,14,22,2011-05-02T00:00:00
Caul of the Flower,EA1421H,248,14,21,2011-04-25T00:00:00
Roll Call,EA1420H,247,14,20,2010-04-18T00:00:00
The Proof Is In The Bread Pudding,EA1419H,246,14,19,2010-04-11T00:00:00
"Waiter, There Is A Fish In My Soup",EA1418H,245,14,18,2010-04-04T00:00:00
Use Your Noodle 4,EA1417H,244,14,17,2010-03-28T00:00:00
A Bird in the Pie is Worth Two in the Bush,EA1415H,243,14,15,2010-03-21T00:00:00
Devil of a Cake,EA1416H,242,14,16,2010-03-14T00:00:00
"Pantry Raid XIII, Destination Chickpea",EA1414H,241,14,14,2011-03-07T00:00:00
Egg Files 7,EA1413H,240,14,13,2010-12-30T00:00:00
American Classics 9,EA1412H,239,14,12,2010-11-18T00:00:00
Squash Court II,EA1411H,238,14,11,2010-11-04T00:00:00
All Hallows Eats,EA1410H,237,14,10,2010-10-28T00:00:00
Oat Cuisine II,EA1409H,236,14,9,2010-10-14T00:00:00
天麩羅 or in English Tempura*,EA1408H,235,14,8,2010-10-07T00:00:00
American Classics VIII,EA1407H,234,14,7,2010-07-08T00:00:00
Yes We Have No Banana Pudding,EA1406H,233,14,6,2010-07-01T00:00:00
Flat is Beautiful V,EA1404H,235,14,4,2010-06-24T00:00:00
Little Big Lunch,EA1403H,231,14,3,2010-06-17T00:00:00
Spear of Influence & Age of Asparagus,EA1405H,230,14,5,2010-06-10T00:00:00
Grillvs Domesticvs,EA1402H,229,14,2,2010-06-03T00:00:00
Porterhouse Rules,EA1401H,228,14,1,2010-05-27T00:00:00
"It's a Pan, It's a Dish, It's Paella",EA1315H,227,13,15,2009-04-29T00:00:00
The Catfish Shall Rise Again,EA1319H,226,13,19,2009-04-08T00:00:00
Curry-ous,EA1316H,226,13,16,2010-03-29T00:00:00
American Classics 7,EA1318H,225,13,18,2009-03-22T00:00:00
The Ballad of Salty and Sweet,EA1317H,224,13,17,2009-03-08T00:00:00
Raising The Bar Again,EA1314H,222,13,14,2009-01-25T00:00:00
Live and Let Diet,EA1313H,221,13,13,2010-01-04T00:00:00
'Twas The Night Before Good Eats,EASP05H,220,15,5,2009-11-30T00:00:00
"The ""Proof"" Is In The Pudding",EA1312H,219,13,12,2009-12-23T00:00:00
Pantry Raid XII: Turning Japanese,EA1307H,218,13,7,2009-11-09T00:00:00
The Once and Future Fish,EA1308H,217,13,8,2009-11-02T00:00:00
American Classics V,EA1309H,216,13,9,2009-10-26T00:00:00
Food Under the Influence,EA1310H,215,13,10,2009-10-19T00:00:00
